"Month /Year","Jan","Feb","March","April","May","June","July","Aug","Sept","Oct","Nov","Dec",""
"1966","0","0","0.4","38.2","131.5","61.8","125.4","86.6","314.1","184.6","235.7","27.8",""
"1967","22.7","0","11.3","3.7","71.4","81.6","199.9","93","66.4","128.5","51","30.9",""
"1968","0","5.8","6","30","96.5","127.9","53.9","65.8","333.7","119.5","17.8","11.7",""
"1969","0","0","1.6","121.7","165.2","55.9","76.4","187.5","85.7","191.5","192.3","119.2",""
"1970","0","14.6","1.5","17.2","161.9","119.5","122.2","135.6","135.7","281.7","33.4","1",""
"1971","0","4.6","0.2","61.3","179.2","23.6","54.6","212.7","241","124.7","19.1","24.3",""
"1972","0.2","0","0","17.7","112.1","83.5","48.1","61.4","213.4","211.8","35","73.7",""
"1973","0","0","0","4.8","54.5","71.7","90.3","158.6","331.1","194.1","22.4","22.8",""
"1974","0","0","0","27.9","156.7","23","138.1","81.2","394.5","116.3","13","0",""
"1975","0","9.8","0.4","1.1","74.5","99","246.3","140.2","161.9","181.8","133.3","10.7",""
"1976","0","0","0","110","59","20.7","70.9","181.7","86.6","67.1","159.6","1.8",""
"1977","0","1.1","40.6","94.1","144.4","118.7","87.7","103.3","90.5","234.5","88.9","0",""
"1978","0","26.9","1.4","40.8","93.8","46.6","120.9","96.1","210.1","84.9","82.7","25.7",""
"1979","0","53.9","0.8","27","77.8","197.5","74.3","64.3","466.5","161.8","105.4","0",""
"1980","0","0","10.9","7.2","151.7","41.8","112.7","114.5","213","78","51.6","0",""
"1981","1.5","0","101.2","9.6","119.4","16.9","154.1","123.8","204","86.6","16.9","21.7",""
"1982","0","0","1.1","16.1","100.2","144.1","46.9","81","206.5","139.4","23.9","1.2",""
"1983","0","0","0","0","106.5","218.4","64.2","178.5","275.8","53.7","2.9","69.8",""
"1984","0.7","33.4","91.7","42.7","60.2","25.3","142.8","45","243.6","144.5","10.7","10.9",""
"1985","2.8","0","20.7","10","73.6","75.4","72.9","67.8","139.8","70.9","97.1","3",""
"1986","18.6","16.4","0","8.4","85.4","131.7","65.3","97.5","516.6","102.6","87.9","14.7",""
"1987","0","0","25.3","57.6","84.2","84.2","53.7","157.8","102.7","144.4","35.1","53.6",""
"1988","0","0","29.2","71.4","108.9","25.7","243.8","242","424.6","10","35.4","30",""
"1989","0","0","2","6.2","88.9","47.9","208.9","67","235.5","238.6","6.6","3.5",""
"1990","1.2","0","3.4","32.2","146.9","57.2","36.6","109","98.6","91","26.2","10.8",""
"1991","0.3","0","0","43.3","194.4","209.4","72.5","119.4","227.7","303","180.5","0",""
"1992","0","0","0","7.6","91","178.1","93.8","104.6","154.8","159.8","36.2","0.4",""
"1993","0","0","29.5","38.8","100.9","140.3","92.9","127.6","263.5","165.5","27.3","82.7",""
"1994","0","0.2","0","11","78.5","38.7","107.5","58.6","80.6","180.6","25.6","5.9",""
"1995","18.5","0","16.5","33.8","147.7","95.6","107.2","229.3","251.6","155.1","13.1","0",""
"1996","0","0","0","90.8","117.6","228","51","302.9","275.8","83.8","1.2","21.8",""
"1997","5.4","0","26.7","65.2","77","78.8","25.6","161.7","277","328.5","164.4","19.5",""
"1998","0","0","0.1","95","110.3","60.7","257.7","387.1","235.3","215.4","49.6","20.6",""
"1999","0","15.7","0","74.9","200.6","75.7","114.4","94.7","164.2","192.4","64.8","16.6",""
"2000","0","57.7","0","76.2","56.6","91.8","115.9","276.7","208.8","286.2","8.9","15.1",""
"2001","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",""
"2002","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",""
"2003","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",""
"2004","5.4","1.2","5.5","47.5","205.3","75.7","210.4","65.2","186.9","197.3","25.7","0",""
"2005","1.6","4.4","13.4","75.1","115.7","127.9","136.4","194","173.5","446","56.5","6.3",""
"2006","0.3","0","62.7","25.2","133.9","190.5","53.6","44.2","31.5","48.9","48","0.3",""
"2007","0","0.2","0","104.9","79.5","57.2","154","146.5","223.7","163","21.1","34.5",""
"2008","0.1","9.9","115.4","30.4","87.1","59.2","182.5","247.4","105.6","210.9","47.6","0.3",""
"2009","0.1","0","15.2","63.9","123.8","125.4","30.2","162.2","335.3","35.2","66.8","17.5",""
"2010","5.4","0","17.4","97.5","123.9","67.3","112.3","121.1","149.9","95.8","166.8","2.7",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
